Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
PREOS Global Office Real Estate & Technology AG,PAGn.DE,DE000A2LQ850,D6S78C111,Ordinary Share,Xetra,Germany
Advanced Blockchain AG,BWQ.DE,DE000A0M93V6,D0R94Q114,Ordinary Share,Xetra,Germany
Vita 34 AG,V3VGn.DE,DE000A0BL849,D9506F102,Ordinary Share,Xetra,Germany
Naga Group AG,N4G.DE,DE000A161NR7,D5S4GK105,Ordinary Share,Xetra,Germany
Mister Spex SE,MRXG.DE,DE000A3CSAE2,D5S4HU102,Ordinary Share,Xetra,Germany
Vectron Systems AG,V3SG.DE,DE000A0KEXC7,D3048P108,Ordinary Share,Xetra,Germany
OHB SE,OHBG.DE,DE0005936124,D58941101,Ordinary Share,Xetra,Germany
Muehlbauer Holding AG,MUBG.DE,DE0006627201,D5518C103,Ordinary Share,Xetra,Germany
SLM Solutions Group AG,AM3D.DE,DE000A111338,D6T690109,Ordinary Share,Xetra,Germany
Homag Group AG,HG1G.F,DE0005297204,D3370C105,Ordinary Share,Frankfurt Stock Exchange,Germany
IBU-tec advanced materials AG,IBU.DE,DE000A0XYHT5,D3R68T106,Ordinary Share,Xetra,Germany
SNP Schneider Neureither & Partner SE,SHFG.DE,DE0007203705,D6996H101,Ordinary Share,Xetra,Germany
NanoRepro AG,NN6G.DE,DE0006577109,D5566G105,Ordinary Share,Xetra,Germany
Deutsche Grundstuecksauktionen AG,DGRG.DE,DE0005533400,D1886U106,Ordinary Share,Xetra,Germany
MEDIQON Group AG,MCEG.DE,DE0006618309,D5S93D120,Ordinary Share,Xetra,Germany
DMG Mori AG,GILG.DE,DE0005878003,D2251X105,Ordinary Share,Xetra,Germany
Lang & Schwarz AG,LUS1n.DE,DE000LS1LUS9,D5S1J6109,Ordinary Share,Xetra,Germany
Bijou Brigitte modische Accessoires AG,BIJG.DE,DE0005229504,D13888108,Ordinary Share,Xetra,Germany
Rhoen Klinikum AG,RHKG.DE,DE0007042301,D6530N119,Ordinary Share,Xetra,Germany
